Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	LossMu	DeltaLossMu	AverageViolation	StdViolation	MaxViolation	MinViolation	AverageMultiplier	StdMultiplier	MaxMultiplier	MinMultiplier	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
11	-0.14759125	0.6404618	0.84209293	-1.206004	7.75	5.1173725	18.0	2.0	1000.0	830.0	0.008645833333333333	0.05502314	0.21132606	0.5861054	-0.572575	0.78921753	0.77924335	4.1870275	-0.9062314	0.029291296	-0.10053194	-0.39532557	-0.036390066	0.15153241	0.45578682	3.1870275	-0.1	2.8037543	0.40196487	4.8025646	1.3116715	0.03691527	-0.01902955	0.9103378	-0.20634198	0.029291289	-0.11169468	9.0	1.6811213	0.023531502	96000	232.82198572158813
12	1.1305364	1.6054069	3.7009206	-0.41573247	4.25	3.9607449	11.0	0.0	1000.0	864.0	0.008307692307692308	0.0048906	0.309284	0.9692628	-1.0395862	0.4487314	0.49064618	3.1648295	-0.87088925	-0.018816732	-0.005993722	0.14246239	0.00866057	-0.046361562	0.1743218	2.1648295	-0.1	3.0332332	0.4089576	4.8423223	1.4841418	0.075825304	-0.025822595	0.42988378	-0.05741033	-0.018816719	-0.006120544	9.0	1.6815631	0.012360924	104000	252.58339881896973
13	0.090346396	1.0251082	2.1917622	-1.4986045	2.625	2.2325714	7.0	0.0	1000.0	885.0	0.007901785714285714	0.05052697	0.16331711	0.7429901	-0.5565578	0.3827069	0.43142325	2.821858	-0.7605149	0.0001087408	-0.024964675	0.20577945	-0.0011035502	-0.06327162	0.15916295	1.8218579	-0.1	3.1792274	0.4348223	4.880733	1.5672889	0.033715423	-0.010455994	0.28882256	-0.056930467	0.00010872769	-0.0156558	79.0	1.6881051	0.01157027	112000	274.7231903076172
14	0.7139543	0.64562684	1.5818061	-0.19916826	5.125	4.2260356	12.0	0.0	1000.0	926.0	0.007716666666666667	0.046101436	0.22924423	0.9369996	-0.6987451	0.40054968	0.34070295	2.1472092	-0.48137584	-0.0014038096	-0.005271731	0.25875494	-0.0024110675	-0.08031974	0.09736056	1.1472092	-0.1	3.232162	0.4151879	4.97824	1.673377	0.059906907	-0.015398204	0.4607984	-0.045823485	-0.0014038115	-0.004510114	3.0	1.7164216	0.0037361751	120000	294.49606466293335
15	0.42623705	1.3000387	3.4345126	-0.8627477	3.25	3.112475	9.0	0.0	1000.0	952.0	0.0074375	0.05515763	0.19563681	0.9386996	-0.42743084	0.42095563	0.39516607	2.2649727	-0.64214087	0.00083019136	-0.0071278866	0.2481213	-0.0012204647	-0.0766517	0.11244596	1.2649727	-0.1	3.1918955	0.42013368	4.9425006	1.6334405	0.05319181	-0.016146697	0.32737702	-0.03255713	0.0008301878	-0.0008375623	2.0	1.7167397	0.0066248924	128000	314.4960124492645
16	0.32108465	1.5773208	3.2045765	-1.9089415	6.75	5.238082	14.0	0.0	1000.0	1006.0	0.007397058823529412	0.0698544	0.22053851	0.8926488	-0.61889714	0.43794146	0.4534847	2.30036	-0.6161239	0.0033760502	-0.0044896617	0.15959555	-0.0017841011	-0.049702432	0.16902266	1.30036	-0.1	3.1434493	0.46185055	4.9650555	0.7387376	0.06662291	-0.014440365	0.603188	-0.092800856	0.0033760432	-0.0029646	5.0	1.7166027	0.009235162	136000	334.7841331958771
17	1.2389729	1.9374028	5.8436885	-0.22144604	8.625	6.781178	19.0	0.0	1000.0	1075.0	0.007465277777777778	0.064659536	0.27153784	1.5598496	-0.4346048	0.65610313	0.5852	2.98999	-0.43899226	0.0011292289	-0.008453549	-0.15151893	0.0004310012	0.05143799	0.311277	1.98999	-0.1	3.0821376	0.46841976	5.1041822	0.94979674	0.04569954	-0.008414332	0.9188352	-0.1435684	0.001129224	-0.007869957	3.0	1.715642	0.0072683953	144000	354.4216718673706
18	0.6464111	1.1394798	3.3359041	-0.7332037	5.875	4.7020607	13.0	0.0	1000.0	1122.0	0.007381578947368421	0.09479489	0.35880637	1.8743213	-0.5093664	0.8384277	0.67604077	3.950453	-0.5556962	-0.005867052	-0.0076198224	-0.4301032	0.00045600533	0.13975953	0.43377155	2.950453	-0.1	3.0712163	0.46790817	4.958523	1.4799541	0.06277043	-0.026705202	0.8915926	-0.22550184	-0.005867041	-0.011482194	4.0	1.7142758	0.012660882	152000	375.08181285858154
19	1.4416807	1.5795015	3.8771539	-0.68348795	6.375	4.608077	14.0	0.0	1000.0	1173.0	0.00733125	0.13367496	0.32994524	1.5696547	-0.42146826	0.6301311	0.4043337	2.4631257	-0.35989487	0.005318719	-0.005616397	0.093089856	-0.00036672503	-0.030335993	0.17239879	1.4631257	-0.1	3.0932305	0.47761905	5.0765715	0.28605527	0.07125642	-0.020675823	0.70782244	-0.09763765	0.0053187	-0.004076177	3.0	1.7128046	0.009031807	160000	395.25170969963074
20	1.3974513	1.6551411	5.3364053	0.09306809	5.875	4.539755	15.0	0.0	1000.0	1220.0	0.007261904761904762	0.12123001	0.21319988	0.8270268	-0.19402179	0.7539398	0.47450334	2.6017773	-0.8627207	-0.013714357	-0.00263838	-0.09987596	-2.8640032e-05	0.031045578	0.24997532	1.6017773	-0.1	3.0601792	0.50335693	5.009651	0.28987613	0.064162634	-0.013602339	0.6135139	-0.124852866	-0.013714367	-0.007882579	3.0	1.7123991	0.019353298	168000	415.386435508728
21	1.2539467	1.5698603	4.315112	-0.74423295	6.125	4.884606	13.0	0.0	1000.0	1269.0	0.007210227272727273	0.113295555	0.27263415	1.474714	-0.3312501	0.6104218	0.43196526	2.335408	-1.2308655	0.010585071	-0.0296974	0.12201159	-0.00397902	-0.040649593	0.14885779	1.335408	-0.1	3.0050728	0.5389413	5.0347066	0.15193826	0.07969951	-0.02846146	0.6591919	-0.05106592	0.010585066	-0.018147571	46.0	1.7116125	0.012226513	176000	436.7168881893158
22	0.27521044	0.9595852	2.3445613	-1.0377367	9.625	7.4822707	27.0	0.0	1000.0	1346.0	0.007315217391304348	0.033109758	0.2006843	1.1706173	-0.45400438	0.53464645	0.3696747	2.6292078	-0.6826414	-0.009218724	-0.011440311	0.1618029	-0.002076134	-0.06008567	0.13361032	1.6292078	-0.1	2.8512838	0.53710127	5.0338645	0.14363432	0.06481422	-0.01798477	1.6379251	-0.48199844	-0.009218739	-0.013006451	9.0	1.6771266	0.01614935	184000	457.68142318725586
23	0.3630902	1.1218202	2.6064463	-1.516556	8.25	7.52911	22.0	0.0	1000.0	1412.0	0.007354166666666667	-0.010079153	0.09398702	0.38319966	-0.22781004	0.8318075	0.41118458	2.3375292	-0.2785442	-0.025801897	-0.0067285933	-0.103593856	0.00039294362	0.032095045	0.24608038	1.3375292	-0.1	2.7708745	0.5151232	4.814778	0.13769114	0.074080795	-0.028657451	1.3524472	-0.31297648	-0.025801891	-0.009633066	3.0	1.6733365	0.012992984	192000	477.75265860557556
24	0.20333013	1.7897822	3.3194795	-1.6624446	7.125	7.4571695	24.0	0.0	1000.0	1469.0	0.007345	0.05305089	0.12932338	0.69877976	-0.22381629	1.0181874	0.7352998	3.9820597	-1.035716	-0.017808883	-0.0068043545	-0.80631435	-0.0018312931	0.27622953	0.46938336	2.9820597	-0.1	2.748154	0.540219	4.9207854	0.14324628	0.071072176	-0.020785518	1.0847179	-0.34930247	-0.017808897	-0.010180321	3.0	1.6718631	0.013199117	200000	497.1352822780609
25	-0.4577188	1.7473774	3.1236982	-2.4427395	4.375	3.9666579	11.0	0.0	1000.0	1504.0	0.007230769230769231	0.04034239	0.13449307	0.91317695	-0.29493198	0.5407854	0.77391046	2.7350767	-0.82070774	0.013882004	-0.0056569874	-0.23307246	-0.0013019294	0.08153981	0.32634974	1.7350767	-0.1	2.7039986	0.51335174	4.9701757	0.1813283	0.06343909	-0.032760076	0.61359596	-0.30663782	0.013882023	-0.0025167083	3.0	1.6704499	0.008837547	208000	517.2368674278259
26	-0.13966167	1.2536922	1.8215	-2.1200397	2.625	3.4977672	10.0	0.0	1000.0	1525.0	0.007060185185185185	-0.07593213	0.11375917	0.6155309	-0.29332456	0.38231793	0.46381837	2.5353422	-0.41632512	-0.009115086	-0.018439453	0.14260629	-0.008963093	-0.055670366	0.17347547	1.5353422	-0.1	2.699228	0.50708944	4.974714	0.1802424	0.044546816	-0.011901524	0.4230196	-0.10382819	-0.009115072	-0.005879904	79.0	1.6690022	0.008402815	216000	540.0637834072113
27	0.85372794	1.5432317	4.199013	-0.6098592	2.875	2.666341	7.0	0.0	1000.0	1548.0	0.006910714285714286	-0.016516179	0.14398666	0.84613776	-0.27763185	0.37680852	0.41479087	2.0206285	-0.7465689	-0.0125240125	-0.0040609427	0.15931186	-0.0014455616	-0.06684024	0.0941561	1.0206285	-0.1	2.5550747	0.53387207	5.0093184	1.2170393	0.062757716	-0.023919702	0.26347482	-0.067173734	-0.012524009	7.323641e-05	3.0	1.6460211	0.008030554	224000	560.0847840309143
28	0.64711916	1.044852	2.4026566	-1.0210706	3.625	5.8081303	17.0	0.0	1000.0	1577.0	0.006797413793103448	0.0970922	0.19087479	0.8852301	-0.30084017	0.2633115	0.29280257	1.8245761	-0.45259824	-0.0131269675	-0.025864845	0.22824056	-0.03951551	-0.09261526	0.052563604	0.82457614	-0.1	2.49581	0.5127718	4.7731023	0.52777904	0.05680935	-0.014520925	0.6820944	-0.1923097	-0.01312698	-0.011697148	79.0	1.6445304	0.011845717	232000	582.6448736190796
29	3.0458336	3.0709748	8.214315	-0.19315253	4.25	5.1173725	16.0	0.0	1000.0	1611.0	0.0067125	0.22546117	0.27156624	1.5122926	-0.35491097	0.52312917	0.57618344	3.9403434	-0.54101497	-0.0185982	-0.006142849	-0.03923707	6.366894e-05	0.0059151687	0.29745737	2.9403434	-0.1	2.1946948	0.51279855	4.8921785	0.14903753	0.11136592	-0.061238073	0.5639484	-0.22421533	-0.018598204	-0.007156769	3.0	1.6167767	0.008001116	240000	602.9763107299805
30	1.0658221	2.0833116	5.1426253	-1.9151369	5.375	7.6475077	25.0	0.0	1000.0	1654.0	0.006669354838709678	0.14717987	0.30037317	2.0051358	-0.42148942	0.4898478	0.42184752	2.5775826	-0.34817874	0.010678382	-0.022198552	0.09137121	-0.0063329935	-0.047026988	0.16712746	1.5775826	-0.1	2.1233807	0.49917424	4.898392	0.123081364	0.07988332	-0.026278928	0.7963796	-0.2745154	0.010678368	-0.013843499	32.0	1.6162267	0.012927492	248000	623.9757974147797
31	3.2617705	3.1794775	9.469808	-0.07243718	2.5	3.1622777	8.0	0.0	1000.0	1674.0	0.0065390625	0.20510347	0.3469403	1.6153371	-0.27027497	0.3588859	0.46405467	2.7514803	-0.6430141	-0.000455184	-0.034535844	0.108712055	-0.01618062	-0.05700899	0.15203448	1.7514803	-0.1	1.9950403	0.4836084	4.878717	0.11814484	0.07164247	-0.027719561	0.4242633	-0.18213974	-0.0004551717	-0.017842282	79.0	1.6131608	0.010104356	256000	647.2975289821625
32	1.3307785	1.9320877	5.607936	-0.9924711	3.0	2.5495098	7.0	0.0	1000.0	1698.0	0.006431818181818182	0.21897034	0.31447664	1.683441	-0.26163265	0.3134923	0.23752257	1.9792546	-0.37465605	-0.000754865	-0.018040568	0.15955271	-0.034740284	-0.094736956	0.04835217	0.9792546	-0.1	1.7059574	0.46640694	4.77084	0.1048461	0.098115236	-0.05284272	0.21368705	-0.0633461	-0.00075488136	-0.0030805948	79.0	1.5720191	0.0074777147	264000	669.8393685817719
33	2.646813	2.5553546	6.556166	-1.2880362	2.75	2.6809514	9.0	0.0	1000.0	1720.0	0.006323529411764706	0.15134041	0.24391033	1.1262172	-0.29145604	0.24183735	0.31874636	2.3758607	-0.425211	-0.005074995	-0.019795923	0.113338806	-0.028454788	-0.08918521	0.082156554	1.3758607	-0.1	1.3090773	0.41191888	4.7325473	0.21016903	0.092247896	-0.038561486	0.4126574	-0.087980956	-0.0050749765	-0.005069382	79.0	1.571372	0.0077888854	272000	692.213461637497
34	1.5343716	1.4218812	4.419382	-0.20576096	5.25	4.789311	15.0	0.0	1000.0	1762.0	0.006292857142857143	0.16169506	0.15771924	0.93587065	-0.27562273	0.59118176	0.5839466	3.8539212	-0.28555924	-0.023096874	-0.025061447	-0.06937905	-0.0052378103	0.032179322	0.3298108	2.8539212	-0.1	1.0262831	0.3732158	4.8423023	0.108278304	0.034318328	-0.011050738	0.9865515	-0.28673983	-0.02309688	-0.008709522	79.0	1.5599382	0.010269579	280000	715.3284862041473
35	3.9647326	2.70297	9.437508	0.065136716	3.125	1.5360258	5.0	0.0	1000.0	1787.0	0.0062048611111111115	0.32203087	0.30373466	1.5498384	-0.2978303	0.43686652	0.42550892	2.7012916	-0.5532761	0.012700814	-0.027972087	0.05711078	-0.006724678	-0.06056253	0.13214299	1.7012916	-0.1	1.0104277	0.39156565	4.6945314	0.24279113	0.061490897	-0.026641816	0.32526845	-0.09426917	0.012700812	-0.0064035296	79.0	1.5156415	0.010129183	288000	738.4070899486542
36	2.4182792	1.8063232	5.0198374	0.3767279	9.0	5.0	18.0	2.0	1000.0	1859.0	0.006280405405405406	0.36642987	0.2557055	1.7464801	-0.085338034	0.46893132	0.33936507	2.6554697	-0.12422291	-0.012296069	-0.023709487	0.047315862	-0.004286498	-0.063922375	0.14528607	1.6554697	-0.1	0.9492882	0.39912668	4.8857393	0.18604869	0.077019624	-0.04781331	0.74137735	-0.3548313	-0.012296077	-0.014761813	29.0	1.4810469	0.013515374	296000	758.7786159515381
37	2.9974043	2.859263	8.328528	-0.06409594	6.375	5.7865686	18.0	0.0	1000.0	1910.0	0.006282894736842105	0.207634	0.31294912	1.7661911	-0.41928434	0.84142107	0.51619875	3.128188	-0.32589388	0.0018532454	-0.02377732	-0.09016811	-0.015693694	0.08930637	0.30169207	2.128188	-0.1	0.86803985	0.36960077	4.951806	0.17761008	0.08075152	-0.036089454	0.75330746	-0.21244603	0.0018532331	-0.005979251	79.0	1.4693768	0.010373734	304000	781.2810525894165
38	3.0047174	3.0759926	8.064468	-1.2776263	2.75	3.230712	10.0	0.0	1000.0	1932.0	0.006192307692307692	0.40593904	0.4197109	2.3486028	-0.19667898	0.4135584	0.645342	3.5297828	-0.6566561	-0.008108087	-0.005230584	-0.02635738	-0.00024433993	0.012449922	0.27960232	2.5297828	-0.1	1.0287803	0.38097668	4.6713624	0.2186447	0.09202976	-0.0371982	0.718017	-0.37541956	-0.008108096	-0.0023499923	2.0	1.4525502	0.0075112116	312000	801.68425989151
39	3.960365	2.1522017	7.3515697	0.23151392	5.5	5.0	16.0	0.0	1000.0	1976.0	0.006175	0.35679966	0.4699562	2.2627392	-0.30308706	0.32658106	0.15389787	1.463911	-0.21059003	0.0052215056	-0.019005775	0.10211785	-0.014565714	-0.09966321	0.009894497	0.46391106	-0.1	1.0322462	0.39560097	4.9478498	0.22583786	0.09970308	-0.03475161	0.6450641	-0.23367149	0.0052215173	-0.0047780876	79.0	1.4521339	0.009012362	320000	822.5800783634186
40	2.5638404	2.6721287	7.440426	-1.3998243	7.0	4.8989797	16.0	0.0	1000.0	2032.0	0.0061951219512195125	0.29754242	0.2552245	1.8394145	-0.13194697	0.58603776	0.5394652	4.300495	-0.3647986	-0.015469465	-0.05274066	-0.023159718	0.00016343407	0.0011592216	0.27790922	3.3004951	-0.1	0.84803843	0.36922258	4.7959504	0.09432939	0.060405944	-0.025512066	0.67501676	-0.15271461	-0.015469478	-0.048468173	42.0	1.4222137	0.017835697	328000	844.4785408973694
41	4.5363493	3.6676667	10.1593075	-0.5678919	7.25	6.9236913	21.0	0.0	1000.0	2090.0	0.0062202380952380955	0.380755	0.4119563	1.8540612	-0.355535	0.7736848	0.57649386	4.4518027	-0.45255533	0.014601096	-0.022383103	-0.082704015	-0.019166984	0.07204989	0.3728536	3.4518027	-0.1	0.8413938	0.36059234	5.0199566	0.104636855	0.10929901	-0.038334988	0.9910736	-0.4276188	0.014601099	-0.0063391253	79.0	1.4164	0.01122293	336000	867.3201947212219
42	5.65491	2.5195465	10.81097	2.5254939	5.25	5.3091903	17.0	0.0	1000.0	2132.0	0.006197674418604651	0.5702131	0.46751216	2.2042072	-0.33647537	0.36481422	0.6293651	3.8111198	-0.6624163	-0.017795233	-0.04065843	-0.01867943	-0.0005443543	-0.006025372	0.31304947	2.8111198	-0.1	0.9668025	0.39843187	4.9333	0.06878565	0.10746401	-0.04588348	0.86419606	-0.23743653	-0.017795227	-0.0389374	17.0	1.3907213	0.015733292	344000	887.7350082397461
43	5.6002703	3.407955	9.851654	0.14761949	3.25	2.1650636	7.0	0.0	1000.0	2158.0	0.006130681818181818	0.5617778	0.4080269	1.871763	-0.29796797	0.641313	0.47524098	3.241149	-1.2665167	-0.01680789	-0.040416285	-0.021022568	-0.0019338597	0.0029528274	0.2723121	2.241149	-0.1	1.0220814	0.39743495	4.5355797	0.12445783	0.07028782	-0.02088882	0.3469881	-0.11299214	-0.016807877	-0.030731898	39.0	1.3869205	0.012895628	352000	909.6290879249573
44	3.8574624	2.2628527	6.576535	-0.5603849	4.875	2.619041	9.0	0.0	1000.0	2197.0	0.006102777777777778	0.40530017	0.35515353	1.8675841	-0.24173287	0.42409506	0.45248538	4.528013	-0.34167194	-0.002426598	-0.020782832	0.023495885	-0.004552301	-0.042453565	0.24156173	3.5280132	-0.1	1.0790976	0.4253918	4.7799206	0.24671738	0.067079805	-0.021239258	0.43900982	-0.06429422	-0.0024265826	-0.0061527463	79.0	1.3845596	0.007573625	360000	932.4630162715912
45	4.53053	3.6553853	12.755455	1.2390273	4.875	6.0917463	19.0	0.0	1000.0	2236.0	0.006076086956521739	0.41819435	0.38258836	1.8994642	-0.15350075	0.37658468	0.45470965	4.049406	-0.39663276	-0.015618338	-0.021340683	0.02783131	-0.0033788178	-0.044758324	0.22664802	3.049406	-0.1	1.0372252	0.42793936	4.943252	0.16217998	0.073782906	-0.023915444	0.9755419	-0.19064587	-0.015618339	-0.009902833	42.0	1.3749633	0.012104287	368000	953.6762473583221
46	4.7559185	3.746763	12.167949	-0.30418912	4.875	5.644411	16.0	0.0	1000.0	2275.0	0.006050531914893617	0.5662975	0.41299102	1.9743992	-0.25471655	0.47271758	0.46356305	3.7482417	-0.35225585	-0.021816883	-0.053112347	0.00996324	-0.0013348702	-0.037864424	0.21716619	2.7482417	-0.1	0.94768125	0.43014553	4.6762853	0.18661918	0.103346266	-0.04947601	0.60899156	-0.1482147	-0.021816868	-0.049504552	23.0	1.3763399	0.014357796	376000	974.0359678268433
47	3.2436173	2.982616	8.423636	-0.08786215	7.375	6.872727	19.0	0.0	1000.0	2334.0	0.006078125	0.34691393	0.3885445	2.1831663	-0.22307476	0.8231589	0.79038495	4.3810225	-0.5412476	0.010359801	-0.020832594	-0.18144391	-0.062186033	0.17929113	0.5221463	3.3810225	-0.1	0.9366212	0.430606	4.703708	0.123736866	0.055813316	-0.01329596	1.477734	-0.7606345	0.0103598125	-0.0076265745	61.0	1.3728166	0.012083533	384000	995.7096977233887
48	4.6940665	2.8130226	10.003837	0.46397144	6.75	4.054319	15.0	1.0	1000.0	2388.0	0.0060918367346938776	0.39285305	0.38281336	1.8285383	-0.2554721	0.9659495	0.5737599	2.81533	-0.5799376	0.021677686	-0.019922988	-0.19570181	-0.030529737	0.1576969	0.38433695	1.81533	-0.1	1.2451963	0.50511533	4.886845	0.08165814	0.090239145	-0.036766205	0.7463691	-0.24580258	0.02167769	-0.012683376	19.0	1.3551474	0.012126086	392000	1016.0919415950775
49	4.3469872	3.8517687	10.905042	-0.7096773	2.375	2.6427968	8.0	0.0	1000.0	2407.0	0.0060175	0.52744424	0.47692573	2.2113059	-0.25779346	0.29641458	0.49427363	3.2441359	-0.5625697	-0.011304018	-0.03038488	0.053075638	0.0020146593	-0.048690457	0.23472758	2.2441359	-0.1	1.3344249	0.51979685	4.6732855	0.13543034	0.06508066	-0.025161088	0.236265	-0.080326766	-0.011304014	-0.013015325	79.0	1.3493819	0.010157005	400000	1038.1325464248657
50	5.2984886	2.15146	9.530014	3.0337653	1.625	1.7984369	5.0	0.0	1000.0	2420.0	0.005931372549019607	0.5624858	0.41162503	2.2255123	-0.15389223	0.16116783	0.33751225	2.4492357	-0.571393	-0.0028686891	-0.0042499774	0.11675846	-0.0006599277	-0.08614505	0.09914843	1.4492357	-0.1	1.428976	0.531017	4.463434	0.35041252	0.06615495	-0.013374258	0.13322338	-0.026077405	-0.002868698	-0.00021015783	2.0	1.3415077	0.005520271	408000	1058.6313948631287
