Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	LossMu	DeltaLossMu	AverageViolation	StdViolation	MaxViolation	MinViolation	AverageMultiplier	StdMultiplier	MaxMultiplier	MinMultiplier	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
11	-0.9042016	2.0568676	2.2734795	-4.7939754	7.443012	6.1438136	17.714355	0.0	1000.0	1352.6523	0.014090128580729167	-0.22851123	0.4220834	1.7913569	-1.8663098	0.35766667	0.6803143	3.9012425	-0.36260563	0.00507763	-0.01162751	0.22432318	0.005761385	-0.051404286	0.3985342	2.9012425	-0.2	4.0810876	0.8182914	5.009251	1.3635701	0.25700733	-0.06467548	1.4915371	-0.3460083	0.005077627	-0.01493804	10.0	1.8011582	0.01203456	96000	213.16506171226501
12	-3.4719887	3.2699409	-0.39720732	-10.044357	7.3858843	11.481169	28.470966	0.0	1000.0	1411.7395	0.013574418288010818	-0.22688565	0.39535722	1.1760364	-1.8695661	0.5214774	1.2515241	9.781928	-0.49735594	-0.0012468713	-0.015646886	-0.65455127	-0.01428175	0.16652295	0.97072494	8.781928	-0.2	4.1850777	0.83155805	5.191334	1.4154563	0.30786887	-0.08880861	0.99479634	-0.361512	-0.0012468923	-0.016533345	11.0	1.7975672	0.011795781	104000	230.15202236175537
13	-2.204704	0.8713841	-0.53114945	-3.6781955	6.7514772	8.936742	24.427252	0.0	1000.0	1465.7513	0.01308706556047712	-0.35351714	0.51603776	1.0723815	-2.5009725	0.62079775	1.3115118	8.128996	-0.33102065	-0.0073108664	-0.0039356435	-0.72943145	-0.0032746196	0.17311652	1.09564	7.128996	-0.2	4.2685103	0.83515817	5.2770944	1.4795904	0.18066892	-0.04217592	0.9780946	-0.25809276	-0.0073108682	-0.006417781	2.0	1.7886255	0.017697647	112000	247.2388527393341
14	-0.5852397	2.8836389	5.940726	-4.4858418	3.7384272	5.158459	12.613241	0.0	1000.0	1495.6587	0.012463822428385417	-0.10748486	0.4183425	0.9764443	-1.4729757	0.63027996	1.5109656	10.542326	-1.8195667	0.0021554516	-0.0028295899	-1.0756315	-0.004749894	0.25391576	1.2506195	9.542326	-0.2	4.3426104	0.8260033	5.281616	1.4928653	0.29228044	-0.116526365	0.9013194	-0.4387729	0.0021554464	-0.00554609	2.0	1.7866457	0.016147697	120000	264.2678792476654
15	-1.5957654	1.6740376	1.2558527	-4.069856	9.114889	8.14221	28.77337	0.85936356	1000.0	1568.5778	0.012254513740539551	-0.032791212	0.49219984	1.6180156	-2.033643	0.8618486	1.2494755	8.776907	-0.42857677	0.017589489	-0.012309068	-1.279988	-0.0107752085	0.2993587	0.98638886	7.776907	-0.2	4.450227	0.8028897	5.305772	1.5218797	0.16987869	-0.043165877	1.57398	-0.24358058	0.017589485	-0.02777807	5.0	1.7851267	0.019883545	128000	281.09887290000916
16	-1.9770784	1.5755256	0.85064113	-4.5733337	4.1812453	7.7654347	24.188272	0.0	1000.0	1602.0278	0.011779616411994485	-0.0989727	0.46630058	0.881762	-1.7948655	0.38625196	0.84046865	7.965344	-0.47774684	-0.030784724	-0.0370085	0.1362703	0.0016775131	-0.027512694	0.6421397	6.965344	-0.2	4.514174	0.79480314	5.3201685	1.5861149	0.10905198	-0.021197423	0.73630214	-0.13588226	-0.03078472	-0.03910289	57.0	1.7836063	0.012269409	136000	299.17812991142273
17	-1.0608928	2.467349	4.8483343	-3.9812353	3.7900548	4.8403945	12.970229	0.0	1000.0	1632.3483	0.011335751851399739	-0.031129463	0.455526	2.0538588	-1.5903695	0.58649135	0.8935889	5.5589395	-0.39935172	0.022965709	-0.034934707	-0.29154074	-0.0034089684	0.069278106	0.6362692	4.5589395	-0.2	4.6097336	0.8061742	5.4880743	1.6696367	0.115758315	-0.03245773	1.0396245	-0.26513273	0.022965698	-0.038160954	36.0	1.7750132	0.013148743	144000	316.7916431427002
18	-0.4264213	1.274383	1.9460576	-2.308881	3.2754564	3.419882	9.934071	0.0	1000.0	1658.5519	0.01091152552554482	-0.08602416	0.53534275	1.600966	-2.03839	0.43375444	0.5219699	4.173251	-0.620901	-0.012875431	-0.026651245	0.47705463	-0.011385262	-0.1021724	0.29999322	3.1732512	-0.2	4.633159	0.79373884	5.497429	1.6730232	0.2076663	-0.051382586	0.55638474	-0.062502354	-0.012875422	-0.020593993	79.0	1.7588406	0.010595807	152000	335.1847434043884
19	2.4880743	3.9366486	10.098462	-3.093833	3.2926073	2.296898	6.979444	0.0	1000.0	1684.8927	0.010530579376220704	0.14005975	0.41622248	1.5468305	-1.1664197	0.42062476	0.41010654	2.5999525	-0.49540773	-0.0046378723	-0.024809416	0.6206389	-0.03781724	-0.13978845	0.18648851	1.5999525	-0.2	4.453291	0.7963334	5.37317	1.6341655	0.19431503	-0.05987653	0.30051336	-0.022894949	-0.0046378653	-0.018738935	79.0	1.741396	0.010604873	160000	353.44672560691833
20	2.9683597	3.3517578	9.446173	-1.3254242	5.3520246	6.35578	15.277763	0.0	1000.0	1727.7089	0.010283981323242188	0.23393835	0.61969876	2.1640735	-1.9121532	0.2821432	0.44694537	6.8031383	-0.43278855	0.0092291515	-0.009373445	0.6345627	-0.0033376813	-0.14743532	0.26577815	5.8031383	-0.2	4.261377	0.7817502	5.090228	1.4284209	0.15390019	-0.052895978	1.3003385	-0.5852599	0.009229154	-0.010516645	3.0	1.746669	0.010140426	168000	369.6920931339264
